古城,"1号线,0,是"
朱辛庄,"8号线北,0,是 昌平线,9,是"
育知路,"8号线北,1,是"
平西府,"8号线北,2,是"
回龙观东大街,"8号线北,3,是"
霍营,"8号线北,4,是 13号线,8,是 S2号线,3,是"
育新,"8号线北,5,是"
西小口,"8号线北,6,是"
永泰庄,"8号线北,7,是"
林萃桥,"8号线北,8,是"
森林公园南门,"8号线北,9,是"
奥林匹克公园,"8号线北,10,是 15号线,16,是"
奥体中心,"8号线北,11,是"
北土城,"8号线北,12,是 10号线外环,37,是 10号线内环,8,是"
安华桥,"8号线北,13,是 12号线,12,否"
安德里北街,"8号线北,14,是"
什刹海,"8号线北,16,是"
中国美术馆,"8号线北,18,是 3号线,10,否"
郭公庄,"9号线,0,是 房山线,11,是"
丰台科技园,"9号线,1,是"
科怡路,"9号线,2,是"
丰台南路,"9号线,3,是"
丰台东大街,"9号线,4,是"
七里庄,"9号线,5,是 14号线西段,5,是"
六里桥,"9号线,6,是 10号线外环,8,是 10号线内环,37,是 11号线,3,否"
六里桥东,"9号线,7,是"
白堆子,"9号线,10,是 3号线,5,否"
巴沟,"10号线外环,0,是 10号线内环,0,是 西郊线,5,是"
火器营,"10号线外环,1,是 10号线内环,44,是"
长春桥,"10号线外环,2,是 10号线内环,43,是 12号线,4,否"
车道沟,"10号线外环,3,是 10号线内环,42,是"
西钓鱼台,"10号线外环,5,是 10号线内环,40,是 3号线,3,否"
莲花桥,"10号线外环,7,是 10号线内环,38,是"
西局,"10号线外环,9,是 10号线内环,36,是 14号线西段,6,是"
泥洼,"10号线外环,10,是 10号线内环,35,是"
丰台,"10号线外环,11,是 10号线内环,34,是"
首经贸,"10号线外环,12,是 10号线内环,33,是"
纪家庙,"10号线外环,13,是 10号线内环,32,是"
草桥,"10号线外环,14,是 10号线内环,31,是 大兴机场线,0,是"
角门东,"10号线外环,16,是 10号线内环,29,是"
石榴庄,"10号线外环,18,是 10号线内环,27,是"
成寿寺,"10号线外环,20,是 10号线内环,25,是"
分钟寺,"10号线外环,21,是 10号线内环,24,是"
十里河,"10号线外环,22,是 10号线内环,23,是 14号线东段,5,是"
潘家园,"10号线外环,23,是 10号线内环,22,是"
劲松,"10号线外环,24,是 10号线内环,21,是 11号线,7,否"
双井,"10号线外环,25,是 10号线内环,20,是"
金台夕照,"10号线外环,27,是 10号线内环,18,是"
团结湖,"10号线外环,29,是 10号线内环,16,是 3号线,14,否"
农业展览馆,"10号线外环,30,是 10号线内环,15,是"
亮马桥,"10号线外环,31,是 10号线内环,14,是"
三元桥,"10号线外环,32,是 10号线内环,13,是 首都机场线,1,是 12号线,17,否"
太阳宫,"10号线外环,33,是 10号线内环,12,是"
芍药居,"10号线外环,34,是 10号线内环,11,是 13号线,12,是"
安贞门,"10号线外环,36,是 10号线内环,9,是"
健德门,"10号线外环,38,是 10号线内环,7,是"
牡丹园,"10号线外环,39,是 10号线内环,6,是"
西土城,"10号线外环,40,是 10号线内环,5,是"
知春路,"10号线外环,41,是 10号线内环,4,是 13号线,2,是"
知春里,"10号线外环,42,是 10号线内环,3,是"
苏州街,"10号线外环,44,是 10号线内环,1,是"
大钟寺,"13号线,1,是 12号线,8,否"
五道口,"13号线,3,是"
上地,"13号线,4,是"
西二旗,"13号线,5,是 昌平线,11,是"
龙泽,"13号线,6,是"
回龙观,"13号线,7,是"
北苑,"13号线,10,是"
望京西,"13号线,11,是 15号线,12,是"
光熙门,"13号线,13,是 12号线,15,否"
柳芳,"13号线,14,是"
景泰,"14号线东段,2,是"
方庄,"14号线东段,4,是"
北工大西门,"14号线东段,6,是"
朝阳公园,"14号线东段,10,是 3号线,15,否"
枣营,"14号线东段,11,是"
东风北桥,"14号线东段,12,是"
将台,"14号线东段,13,是"
望京南,"14号线东段,14,是"
阜通,"14号线东段,15,是"
望京,"14号线东段,16,是 15号线,11,是"
东湖渠,"14号线东段,17,是"
来广营,"14号线东段,18,是"
善各庄,"14号线东段,19,是"
张郭庄,"14号线西段,0,是"
园博园,"14号线西段,1,是"
大瓦窑,"14号线西段,2,是"
郭庄子,"14号线西段,3,是"
大井,"14号线西段,4,是"
俸伯,"15号线,0,是"
顺义,"15号线,1,是"
石门,"15号线,2,是"
南法信,"15号线,3,是"
后沙峪,"15号线,4,是"
花梨坎,"15号线,5,是"
国展,"15号线,6,是"
孙河,"15号线,7,是"
马泉营,"15号线,8,是"
崔各庄,"15号线,9,是"
望京东,"15号线,10,是"
关庄,"15号线,13,是"
安立路,"15号线,15,是"
北沙滩,"15号线,17,是"
六道口,"15号线,18,是"
清华东路西口,"15号线,19,是"
农大南路,"16号线,1,是"
马连洼,"16号线,2,是"
西北旺,"16号线,3,是"
永丰南,"16号线,4,是"
永丰,"16号线,5,是"
屯佃,"16号线,6,是"
稻香湖路,"16号线,7,是"
温阳路,"16号线,8,是"
北安河,"16号线,9,是"
四道桥,"S1号线,1,是"
桥户营,"S1号线,2,是"
上岸,"S1号线,3,是"
栗园庄,"S1号线,4,是"
小园,"S1号线,5,是"
石厂,"S1号线,6,是"
延庆,"S2号线,0,是"
八达岭,"S2号线,1,是"
南口,"S2号线,2,是"
高碑店,"八通线,2,是"
传媒大学,"八通线,3,是"
双桥,"八通线,4,是"
管庄,"八通线,5,是"
八里桥,"八通线,6,是"
通州北苑,"八通线,7,是"
果园,"八通线,8,是"
九棵树,"八通线,9,是"
梨园,"八通线,10,是"
临河里,"八通线,11,是"
土桥,"八通线,12,是"
昌平西山口,"昌平线,0,是"
十三陵景区,"昌平线,1,是"
昌平,"昌平线,2,是"
昌平东关,"昌平线,3,是"
北邵洼,"昌平线,4,是"
南邵,"昌平线,5,是"
沙河高教园,"昌平线,6,是"
沙河,"昌平线,7,是"
巩华城,"昌平线,8,是"
生命科学园,"昌平线,10,是"
大兴新城,"大兴机场线,1,是"
大兴机场,"大兴机场线,2,是"
阎村东,"房山线,0,是 燕房线,0,是"
苏庄,"房山线,1,是"
良乡南关,"房山线,2,是"
良乡大学城西,"房山线,3,是"
良乡大学城,"房山线,4,是"
良乡大学城北,"房山线,5,是"
广阳城,"房山线,6,是"
篱笆房,"房山线,7,是"
长阳,"房山线,8,是"
稻田,"房山线,9,是"
大葆台,"房山线,10,是"
T3航站楼,"首都机场线,2,是"
T2航站楼,"首都机场线,3,是"
香山,"西郊线,0,是"
植物园,"西郊线,1,是"
万安,"西郊线,2,是"
茶棚,"西郊线,3,是"
颐和园西门,"西郊线,4,是"
紫草坞,"燕房线,1,是"
阎村,"燕房线,2,是"
星城,"燕房线,3,是"
大石河东,"燕房线,4,是"
马各庄,"燕房线,5,是"
饶乐府,"燕房线,6,是"
房山城关,"燕房线,7,是"
燕山,"燕房线,8,是"
肖村,"亦庄线,1,是"
小红门,"亦庄线,2,是"
旧宫,"亦庄线,3,是"
亦庄桥,"亦庄线,4,是"
亦庄文化园,"亦庄线,5,是"
万源街,"亦庄线,6,是"
荣京东街,"亦庄线,7,是"
荣昌东街,"亦庄线,8,是"
同济南路,"亦庄线,9,是"
经海路,"亦庄线,10,是"
次渠南,"亦庄线,11,是"
次渠,"亦庄线,12,是"
亦庄火车站,"亦庄线,13,是"
永定路,"3号线,1,否"
定慧桥,"3号线,2,否"
航天桥,"3号线,4,否"
展览路,"3号线,6,否"
北海公园,"3号线,9,否"
工人体育场,"3号线,13,否"
石佛营,"3号线,16,否"
姚家园,"3号线,17,否"
平房,"3号线,18,否"
高杨树,"3号线,19,否"
东坝,"3号线,20,否"
衙门口,"11号线,1,否"
西三环,"11号线,2,否"
天坛西门,"11号线,5,否"
平乐园,"11号线,8,否"
南花园,"11号线,9,否"
通汇路,"12号线,1,否"
四季青,"12号线,2,否"
板井,"12号线,3,否"
苏州桥,"12号线,5,否"
双榆树,"12号线,7,否"
蓟门桥,"12号线,9,否"
北太平庄,"12号线,10,否"
马甸,"12号线,11,否"
安贞桥,"12号线,13,否"
静安庄,"12号线,16,否"
芳园里,"12号线,18,否"
高家园,"12号线,19,否"
酒仙桥电子城,"12号线,20,否"
北岗子,"12号线,21,否"
东坝西门,"12号线,22,否"
